label,title
0,what is the land use in the happy valley resort?
0,tell me the use of land in the happy valley resort
0,what is the land use in netherlands
0,show the areas that are not wetlands in houston?
0,which shops open at 6pm in happy valley ski resort?
0,how many luxury hotels are in happy valley ski resort?
0,what areas are not wetlands in houston?
0,what areas are not park in houston
0,what is the population for each city in aichi prefecture in japan
0,what is the number of luxury hotels in happy valley ski resort?
0,how many luxury hotels are in happy valley ski resort
0,what is the number of luxury hotels in happy valley ski resort
0,what is the land use in the happy valley resort
0,tell me the population of each city in the aichi prefecture in japan?
0,how many luxury hotels are there in happy valley ski resort?
0,what visitor facilities are in the happy valley?
2,tell me the lung cancer mortality rate for white males in each city in the western us from 1970 to 1994?
2,where are the auto accidents in tarrant county texas?
2,tell me the number of cases of arson in fort worth in february 2004?
2,what is the lung cancer mortality rate of white males for each city in the western usa from 1970 to 1994?
2,where are auto accidents in tarrant county texas?
2,"what is the total population for each census block in tarrant county, texas"
2,tell me the mortality rate of cervix cancer in white women in the western usa from 1970 to 1994?
2,tell me the total population for each census block in tarrant county texas?
2,what is the literacy rate for each country in africa
2,what is the lung cancer mortality rate of white males for each city in the western usa from 1970 to 1994
2,what is fort worth's number of arson cases in february 2004?
2,show me the total votes in an election for each precinct in dallas?
2,tell me the percentage of people over 65 in each pc4 area in amsterdam?
2,what is the proportion of people over 65 for each pc4 area in amsterdam?
2,what is the cervix cancer mortality rate of white women in each city in the western usa from 1970 to 1994?
2,tell me the tornado path in oleander in april 2011?
2,show the cervix cancer mortality rates of white females for each city in the western us from 1970 to 1994?
2,what is the literacy rate for each country in africa?
2,what's the lung cancer mortality rate for white males in each city in the western us from 1970 to 1994
2,tell me the percentage of people over 65 in each pc4 area in amsterdam
2,how many people are in each census block in tarrant county texas?
2,what's the literacy rate for each country in africa?
2,what is the area of currently mixed use zones in gresham?
2,how much literacy is there in each african country?
2,what is the number of arson cases in fort worth on february 2004
2,tell me the literacy rate for every country in africa?
2,which houses are for sale in utrecht
2,what is the area of currently mixed use zones in gresham
2,what is the proportion of people over 65 for each pc4 area in amsterdam
5,what is the euclidean distance to subway stations in amsterdam
5,what is the euclidean distance to hospitals in oleander
5,what is the density surface of temperature measurements in oleander city
5,what is the mean center of crimes weighted by the severity in fort worth
5,tell me the euclidean distance from hospitals in oleander?
5,tell me the euclidean distance to the subway stations in amsterdam?
5,what's the kernel density of crime in surrey in the uk?
5,what is the euclidean distance to schools in utrecht
5,what is the euclidean distance to recreational sites in utrecht
5,tell me the kernel density of traffic accidents in pasadena california?
5,tell me the crime density in surrey uk?
5,tell me the euclidean distance from hospitals in oleander
5,what is the euclidean distance to tram stations in amsterdam
5,what is the kernel density of crime in surrey in uk
5,what is the density surface of rainfall measurements in the netherlands
6,which areas in houston are not considered green belt areas?
6,what areas are not considered green belt areas in houston?
6,tell me not flood plain area in houston
6,what areas are not green belt areas in houston?
6,which are the green belt areas in houston?
6,tell me the green belt area of houston?
6,list some areas of the green belt in houston?
6,what areas are green belt areas in houston
6,what areas are not green belt areas in houston
6,tell me not to flood the houston area
6,which areas in houston are not classified as flood plains?
6,which areas in houston are not flood plains?
6,which are not green belt areas in houston?
8,which areas are within 10 miles of current transmission lines with a voltage greater than 400 in colorado
8,what areas are within a quarter mile of a store in gresham?
8,what area are within 50 km from family physician services in saskatchewan in canada
8,list some areas in the vicinity of the light rail stop in gresham?
8,which areas are within a quarter mile of a restaurant in gresham?
8,which areas are within one mile of main roads in loudoun county in the us?
8,what areas are within 300 meters of runways in schiphol airport
8,what areas are within a quarter mile of a restaurant in gresham
8,what areas are within 500 meters from universities in karbala in iraq
8,what areas are within 10 miles of current transmission lines with a voltage greater than 400 in colorado
8,what areas are outside 5 km of water bodies in assam in india
8,what areas are within 1000 meters of the major transport routes in amsterdam
8,show the areas within one quarter mile of the light rail stop in gresham?
8,which areas are within a quarter mile of a store in gresham?
8,which areas are within 100 metres of the cameras in salford?
8,list the areas in the vicinity of oleander hospitals?
8,which areas are within 1000 meters of major transport routes in amsterdam?
8,what areas are outside 60 meters from residence in houston
8,what areas are inside 1000 foot of schools in el cajon
8,what areas are more than 5000 meters from the roads in spain
8,what areas are within 1000 feet of schools in el cajon?
8,what areas are within 100 meters of the hospitals in oleander
8,what areas are within 300 meters of runways in schiphol airport?
8,what areas are within a quarter mile of a restaurant in gresham?
8,what areas are within 2000 meters of the playgrounds in oleander
8,show the areas in the vicinity of a restaurant in gresham?
8,which areas are within 800 meters of major highways in houston?
8,what areas are within a mile of main roads in loudoun county in the us?
8,what areas are outside 155 meters from nature reserve districts in houston
8,what areas are outside 300 meters from streams in houston
8,what areas are within 1000 meters of the arcades in oleander?
8,what areas are outside 60 meters from water body in houston
8,tell me the area within 1000 meters of the arcades in oleander?
8,what areas are within 800 meter from major highways in houston
8,list the areas within one quarter mile of a restaurant in gresham?
8,what areas are within 1000 meters of the schools in oleander
8,which areas are within 500 meters from universities in karbala in iraq?
8,what areas are within a quarter mile of the light rail stop in gresham?
8,tell me the area within 300 meters of the runways in schiphol airport?
8,what areas are outside 150 meters from hospitals in houston
8,what areas are within one mile of main roads in loudoun county in us
11,what is the hot spot of house vacancy rate in usa in 2019
11,what is the interpolation surface of no2 concentration in vancouver
11,what is the hot spots and cold spots for average loan interest rates in the us
11,what is the density surface of crape myrtles in oleander
13,which wind farm is the closest to the high way in scotland?
13,which wind farm proposals are closest to the roads in scotland?
13,which wind farm proposals are closest to the bike lane in scotland?
13,list the two fire stations closest to each school in utrecht?
13,which wind farm is closest to the high way in scotland?
13,what are the four fire stations with the shortest network path to 1202 twin peaks blvd in san francisco?
13,which wind farms are closest to the roads in scotland?
13,what are the four fire stations with shortest network-based paths to 1202 twin peaks blvd in san francisco
13,which wind farms are closest to the bike lane in scotland?
13,what are the four fire stations with the shortest network path to 1202 twin peaks blvd in san francisco
13,what are the two fire stations closest to each school in utrecht
13,which wind farm proposals are nearest to the roads in scotland
13,which wind farm proposals are nearest to the high way in scotland
13,which proposed wind farm is closest to the high way in scotland?
13,show the four fire stations with the shortest network-based paths to 1202 twin peaks blvd in san francisco?
13,which are the four fire stations with the shortest network-based paths to 1202 twin peaks blvd in san francisco?
14,list the uses of land in the flood zone of oleander?
14,which homes in utrecht are larger than 30 square meters?
14,what houses are for sale in flood zone in utrecht
14,what houses are for sale outside the flood zone in utrecht?
14,what houses are for sale in the flood zone in utrecht
14,where are accidents on the pistes in the happy valley
14,what houses are for sale outside the flood zone in utrecht
14,what are the land use inside the flood zones in oleander
14,what houses are greather than 30 square meters in urban areas in utrecht
14,how many dwelling units are there in the flood zones in oleander?
14,how many streetlights for each district in san diego
14,what houses are larger than 30 square meters in urban areas in utrecht
14,what houses are less than 30 square meters in urban areas in utrecht
14,tell me the number of dwelling units in the flood zone of oleander?
14,where are the accidents on the pistes in the happy valley
14,what houses are for sale in urban areas in utrecht?
14,which houses are for sale outside of the flood zone in utrecht
14,where are the accidents within ski pistes in the happy valley
15,tell me the central feature of oleander bank branches?
15,tell me the central feature of bank branches in oleander?
15,what is weighted average coordinates of bank branches in oleander
15,tell me the average weighted coordinates of the branches of the oleander bank
15,tell me the central feature of the bank branches in oleander
15,please tell me the central feature of oleander bank branches
15,tell me the weighted average coordinates of bank branches in oleander
15,tell me the central feature of bank branches in oleander
15,what is the central feature of fire station in fort worth
15,what are weighted average coordinates of bank branches in oleander?
15,give me weighted average coordinates of the branches of oleander bank
15,show me the central feature of the bank branches in oleander
15,tell me the central feature of the fire station in fort worth?
15,show the main features of oleander bank branches?
16,determine the weighted average of library patrons for each district in oleander
16,what is the mean center of library patrons for each district in oleander
16,what's the weighted coordinate average of library patrons for each district in oleander?
16,show me the average weighted coordinates of library patrons for each district in oleander?
16,what is the weighted coordinate average of library patrons for each district in oleander
16,calculate the weighted average of library patrons for each district in oleander
16,what is the mean center of the fire calls weighted by the priority in fort worth
18,where are luxury hotels with more than 20 bedrooms in happy valley ski resort?
18,where are the pistes in happy valley ski resort?
18,where are the ski pistes in happy valley ski resort?
18,which luxury hotels have more than 20 bedrooms in happy valley ski resort?
18,tell me the largest park in utrecht
18,where are the fire stations in utrecht?
18,where are the commercial areas in amsterdam?
18,where are the commercial areas in amsterdam
